OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SqMiles
3687,0068041,1017,110010068041017,110010068041017,58189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.377415,1589.867652,58183.333146,0.022465
3688,0068041,1018,110010068041018,110010068041018,0,72284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85995,1700.909336,72276.654819,0.027906
3689,0068041,1019,110010068041019,110010068041019,0,172451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.609189,3051.375483,172433.270844,0.066577
3690,0068041,1020,110010068041020,110010068041020,29110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.192419,998.077947,29106.685926,0.011238
3691,0068041,1021,110010068041021,110010068041021,7570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.870488,499.70227,7569.596175,0.002923
3692,0068041,1022,110010068041022,110010068041022,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121997,147.808185,493.704093,0.000191
3693,0068041,1023,110010068041023,110010068041023,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118522,146.487573,479.641208,0.000185
3694,0068041,1024,110010068041024,110010068041024,58318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.409167,978.922757,58311.830754,0.022514
3695,0068041,1025,110010068041025,110010068041025,7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.853019,494.471601,7498.90339,0.002895
3696,0069001,1000,110010069001000,110010069001000,10470,0,85,83,40,38,0,4,0,1,1,0,1,0,2,38,38,0,4,0,1,1,0,1,0,77,38,33,0,4,0,0,1,0,1,0,2,36,33,0,4,0,0,1,0,1,0,53,51,2,3.50401,509.524716,14180.224522,0.005475
3697,0069001,1001,110010069001001,110010069001001,15746,0,152,149,76,71,0,2,0,0,0,1,2,0,6,74,67,0,2,0,0,0,1,2,0,126,68,54,0,2,0,0,0,1,1,0,2,67,53,0,2,0,0,0,1,1,0,73,70,3,3.891077,516.041266,15746.628802,0.00608
3698,0069001,1002,110010069001002,110010069001002,10456,0,86,84,72,12,0,0,0,0,1,1,1,0,6,67,12,0,0,0,0,0,0,1,0,72,58,12,0,0,0,0,1,1,1,0,5,54,12,0,0,0,0,0,0,1,0,52,48,4,2.583576,437.701677,10455.361298,0.004037
3699,0069001,1003,110010069001003,110010069001003,6283,0,17,17,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,15,14,1,1.552504,424.490668,6282.762382,0.002426
3700,0069001,1004,110010069001004,110010069001004,23323,0,166,136,116,17,1,0,0,2,1,1,1,0,7,111,17,0,0,0,1,1,1,1,0,119,101,14,1,0,0,1,1,1,1,0,6,97,14,0,0,0,0,1,1,1,0,94,73,3,5.762741,624.444304,23320.986499,0.009004
3701,0069001,1005,110010069001005,110010069001005,14402,0,93,90,77,8,0,5,0,0,0,1,2,0,2,76,8,0,5,0,0,0,1,1,0,84,69,8,0,4,0,0,0,1,2,0,2,68,8,0,4,0,0,0,1,1,0,53,52,1,3.558416,487.635446,14400.40019,0.00556
